time,u_left,u_right
4.92,-2.5,2.5
4.94,-2.5,2.5
4.96,-2.5,2.5
4.98,-2.5,2.5
5,-2.5,2.5
5.02,-2.5,2.5
5.04,-2.5,2.5
5.06,-2.5,2.5
5.08,-2.5,2.5
5.1,2.5,-2.5
5.12,2.5,-2.5
5.14,2.5,-2.5
5.16,2.5,-2.5
5.18,2.5,-2.5
5.2,-2.5,2.5
5.22,-2.5,2.5
5.24,-2.5,2.5
5.26,-2.5,2.5
5.28,-2.5,2.5
5.3,2.5,-2.5
5.32,2.5,-2.5
5.34,2.5,-2.5
5.36,2.5,-2.5
5.38,2.5,-2.5
5.4,2.5,-2.5
5.42,2.5,-2.5
5.44,2.5,-2.5
5.46,2.5,-2.5
5.48,2.5,-2.5
5.5,2.5,-2.5
5.52,2.5,-2.5
5.54,2.5,-2.5
5.56,2.5,-2.5
5.58,2.5,-2.5
5.6,2.5,-2.5
5.62,2.5,-2.5
5.64,2.5,-2.5
5.66,2.5,-2.5
5.68,2.5,-2.5
5.7,2.5,-2.5
5.72,2.5,-2.5
5.74,2.5,-2.5
5.76,2.5,-2.5
5.78,2.5,-2.5
5.8,-2.5,2.5
5.82,-2.5,2.5
5.84,-2.5,2.5
5.86,-2.5,2.5
5.88,-2.5,2.5
5.9,2.5,-2.5
5.92,2.5,-2.5
5.94,2.5,-2.5
5.96,2.5,-2.5
5.98,2.5,-2.5
6,2.5,-2.5
6.02,2.5,-2.5
6.04,2.5,-2.5
6.06,2.5,-2.5
6.08,2.5,-2.5
6.1,2.5,-2.5
6.12,2.5,-2.5
6.14,2.5,-2.5
6.16,2.5,-2.5
6.18,2.5,-2.5
6.2,2.5,-2.5
6.22,2.5,-2.5
6.24,2.5,-2.5
6.26,2.5,-2.5
6.28,2.5,-2.5
6.3,2.5,-2.5
6.32,2.5,-2.5
6.34,2.5,-2.5
6.36,2.5,-2.5
6.38,2.5,-2.5
6.4,2.5,-2.5
6.42,2.5,-2.5
6.44,2.5,-2.5
6.46,2.5,-2.5
6.48,2.5,-2.5
6.5,-2.5,2.5
6.52,-2.5,2.5
6.54,-2.5,2.5
6.56,-2.5,2.5
6.58,-2.5,2.5
6.6,2.5,-2.5
6.62,2.5,-2.5
6.64,2.5,-2.5
6.66,2.5,-2.5
6.68,2.5,-2.5
6.7,-2.5,2.5
6.72,-2.5,2.5
6.74,-2.5,2.5
6.76,-2.5,2.5
6.78,-2.5,2.5
6.8,-2.5,2.5
6.82,-2.5,2.5
6.84,-2.5,2.5
6.86,-2.5,2.5
6.88,-2.5,2.5
6.9,2.5,-2.5
6.92,2.5,-2.5
6.94,2.5,-2.5
6.96,2.5,-2.5
6.98,2.5,-2.5
7,-2.5,2.5
7.02,-2.5,2.5
7.04,-2.5,2.5
7.06,-2.5,2.5
7.08,-2.5,2.5
7.1,-2.5,2.5
7.12,-2.5,2.5
7.14,-2.5,2.5
7.16,-2.5,2.5
7.18,-2.5,2.5
7.2,-2.5,2.5
7.22,-2.5,2.5
7.24,-2.5,2.5
7.26,-2.5,2.5
7.28,-2.5,2.5
7.3,-2.5,2.5
7.32,-2.5,2.5
7.34,-2.5,2.5
7.36,-2.5,2.5
7.38,-2.5,2.5
7.4,-2.5,2.5
7.42,-2.5,2.5
7.44,-2.5,2.5
7.46,-2.5,2.5
7.48,-2.5,2.5
7.5,2.5,-2.5
7.52,2.5,-2.5
7.54,2.5,-2.5
7.56,2.5,-2.5
7.58,2.5,-2.5
7.6,2.5,-2.5
7.62,2.5,-2.5
7.64,2.5,-2.5
7.66,2.5,-2.5
7.68,2.5,-2.5
7.7,-2.5,2.5
7.72,-2.5,2.5
7.74,-2.5,2.5
7.76,-2.5,2.5
7.78,-2.5,2.5
7.8,-2.5,2.5
7.82,-2.5,2.5
7.84,-2.5,2.5
7.86,-2.5,2.5
7.88,-2.5,2.5
7.9,2.5,-2.5
7.92,2.5,-2.5
7.94,2.5,-2.5
7.96,2.5,-2.5
7.98,2.5,-2.5
8,-2.5,2.5
8.02,-2.5,2.5
8.04,-2.5,2.5
8.06,-2.5,2.5
8.08,-2.5,2.5
8.1,-2.5,2.5
8.12,-2.5,2.5
8.14,-2.5,2.5
8.16,-2.5,2.5
8.18,-2.5,2.5
8.2,-2.5,2.5
8.22,-2.5,2.5
8.24,-2.5,2.5
8.26,-2.5,2.5
8.28,-2.5,2.5
8.3,2.5,-2.5
8.32,2.5,-2.5
8.34,2.5,-2.5
8.36,2.5,-2.5
8.38,2.5,-2.5
8.4,2.5,-2.5
8.42,2.5,-2.5
8.44,2.5,-2.5
8.46,2.5,-2.5
8.48,2.5,-2.5
8.5,2.5,-2.5
8.52,2.5,-2.5
8.54,2.5,-2.5
8.56,2.5,-2.5
8.58,2.5,-2.5
8.6,-2.5,2.5
8.62,-2.5,2.5
8.64,-2.5,2.5
8.66,-2.5,2.5
8.68,-2.5,2.5
8.7,2.5,-2.5
8.72,2.5,-2.5
8.74,2.5,-2.5
8.76,2.5,-2.5
8.78,2.5,-2.5
8.8,-2.5,2.5
8.82,-2.5,2.5
8.84,-2.5,2.5
8.86,-2.5,2.5
8.88,-2.5,2.5
8.9,-2.5,2.5
8.92,-2.5,2.5
8.94,-2.5,2.5
8.96,-2.5,2.5
8.98,-2.5,2.5
9,-2.5,2.5
9.02,-2.5,2.5
9.04,-2.5,2.5
9.06,-2.5,2.5
9.08,-2.5,2.5
9.1,2.5,-2.5
9.12,2.5,-2.5
9.14,2.5,-2.5
9.16,2.5,-2.5
9.18,2.5,-2.5
9.2,-2.5,2.5
9.22,-2.5,2.5
9.24,-2.5,2.5
9.26,-2.5,2.5
9.28,-2.5,2.5
9.3,2.5,-2.5
9.32,2.5,-2.5
9.34,2.5,-2.5
9.36,2.5,-2.5
9.38,2.5,-2.5
9.4,2.5,-2.5
9.42,2.5,-2.5
9.44,2.5,-2.5
9.46,2.5,-2.5
9.48,2.5,-2.5
9.5,-2.5,2.5
9.52,-2.5,2.5
9.54,-2.5,2.5
9.56,-2.5,2.5
9.58,-2.5,2.5
9.6,-2.5,2.5
9.62,-2.5,2.5
9.64,-2.5,2.5
9.66,-2.5,2.5
9.68,-2.5,2.5
9.7,2.5,-2.5
9.72,2.5,-2.5
9.74,2.5,-2.5
9.76,2.5,-2.5
9.78,2.5,-2.5
9.8,2.5,-2.5
9.82,2.5,-2.5
9.84,2.5,-2.5
9.86,2.5,-2.5
9.88,2.5,-2.5
9.9,-2.5,2.5
9.92,-2.5,2.5
9.94,-2.5,2.5
9.96,-2.5,2.5
9.98,-2.5,2.5
10,2.5,-2.5
10.02,2.5,-2.5
10.04,2.5,-2.5
10.06,2.5,-2.5
10.08,2.5,-2.5
10.1,-2.5,2.5
10.12,-2.5,2.5
10.14,-2.5,2.5
10.16,-2.5,2.5
10.18,-2.5,2.5
10.2,2.5,-2.5
10.22,2.5,-2.5
10.24,2.5,-2.5
10.26,2.5,-2.5
10.28,2.5,-2.5
10.3,-2.5,2.5
10.32,-2.5,2.5
10.34,-2.5,2.5
10.36,-2.5,2.5
10.38,-2.5,2.5
10.4,2.5,-2.5
10.42,2.5,-2.5
10.44,2.5,-2.5
10.46,2.5,-2.5
10.48,2.5,-2.5
10.5,-2.5,2.5
10.52,-2.5,2.5
10.54,-2.5,2.5
10.56,-2.5,2.5
10.58,-2.5,2.5
10.6,2.5,-2.5
10.62,2.5,-2.5
10.64,2.5,-2.5
10.66,2.5,-2.5
10.68,2.5,-2.5
10.7,2.5,-2.5
10.72,2.5,-2.5
10.74,2.5,-2.5
10.76,2.5,-2.5
10.78,2.5,-2.5
10.8,-2.5,2.5
10.82,-2.5,2.5
10.84,-2.5,2.5
10.86,-2.5,2.5
10.88,-2.5,2.5
10.9,2.5,-2.5
10.92,2.5,-2.5
10.94,2.5,-2.5
10.96,2.5,-2.5
10.98,2.5,-2.5
11,2.5,-2.5
11.02,2.5,-2.5
11.04,2.5,-2.5
11.06,2.5,-2.5
11.08,2.5,-2.5
11.1,-2.5,2.5
11.12,-2.5,2.5
11.14,-2.5,2.5
11.16,-2.5,2.5
11.18,-2.5,2.5
11.2,2.5,-2.5
11.22,2.5,-2.5
11.24,2.5,-2.5
11.26,2.5,-2.5
11.28,2.5,-2.5
11.3,2.5,-2.5
11.32,2.5,-2.5
11.34,2.5,-2.5
11.36,2.5,-2.5
11.38,2.5,-2.5
11.4,2.5,-2.5
11.42,2.5,-2.5
11.44,2.5,-2.5
11.46,2.5,-2.5
11.48,2.5,-2.5
11.5,-2.5,2.5
11.52,-2.5,2.5
11.54,-2.5,2.5
11.56,-2.5,2.5
11.58,-2.5,2.5
11.6,2.5,-2.5
11.62,2.5,-2.5
11.64,2.5,-2.5
11.66,2.5,-2.5
11.68,2.5,-2.5
11.7,-2.5,2.5
11.72,-2.5,2.5
11.74,-2.5,2.5
11.76,-2.5,2.5
11.78,-2.5,2.5
11.8,2.5,-2.5
11.82,2.5,-2.5
11.84,2.5,-2.5
11.86,2.5,-2.5
11.88,2.5,-2.5
11.9,2.5,-2.5
11.92,2.5,-2.5
11.94,2.5,-2.5
11.96,2.5,-2.5
11.98,2.5,-2.5
12,2.5,-2.5
12.02,2.5,-2.5
12.04,2.5,-2.5
12.06,2.5,-2.5
12.08,2.5,-2.5
12.1,2.5,-2.5
12.12,2.5,-2.5
12.14,2.5,-2.5
12.16,2.5,-2.5
12.18,2.5,-2.5
12.2,-2.5,2.5
12.22,-2.5,2.5
12.24,-2.5,2.5
12.26,-2.5,2.5
12.28,-2.5,2.5
12.3,2.5,-2.5
12.32,2.5,-2.5
12.34,2.5,-2.5
12.36,2.5,-2.5
12.38,2.5,-2.5
12.4,2.5,-2.5
12.42,2.5,-2.5
12.44,2.5,-2.5
12.46,2.5,-2.5
12.48,2.5,-2.5
12.5,-2.5,2.5
12.52,-2.5,2.5
12.54,-2.5,2.5
12.56,-2.5,2.5
12.58,-2.5,2.5
12.6,-2.5,2.5
12.62,-2.5,2.5
12.64,-2.5,2.5
12.66,-2.5,2.5
12.68,-2.5,2.5
12.7,2.5,-2.5
12.72,2.5,-2.5
12.74,2.5,-2.5
12.76,2.5,-2.5
12.78,2.5,-2.5
12.8,-2.5,2.5
12.82,-2.5,2.5
12.84,-2.5,2.5
12.86,-2.5,2.5
12.88,-2.5,2.5
12.9,2.5,-2.5
12.92,2.5,-2.5
12.94,2.5,-2.5
12.96,2.5,-2.5
12.98,2.5,-2.5
13,2.5,-2.5
13.02,2.5,-2.5
13.04,2.5,-2.5
13.06,2.5,-2.5
13.08,2.5,-2.5
13.1,2.5,-2.5
13.12,2.5,-2.5
13.14,2.5,-2.5
13.16,2.5,-2.5
13.18,2.5,-2.5
13.2,-2.5,2.5
13.22,-2.5,2.5
13.24,-2.5,2.5
13.26,-2.5,2.5
13.28,-2.5,2.5
13.3,-2.5,2.5
13.32,-2.5,2.5
13.34,-2.5,2.5
13.36,-2.5,2.5
13.38,-2.5,2.5
13.4,-2.5,2.5
13.42,-2.5,2.5
13.44,-2.5,2.5
13.46,-2.5,2.5
13.48,-2.5,2.5
13.5,-2.5,2.5
13.52,-2.5,2.5
13.54,-2.5,2.5
13.56,-2.5,2.5
13.58,-2.5,2.5
13.6,-2.5,2.5
13.62,-2.5,2.5
13.64,-2.5,2.5
13.66,-2.5,2.5
13.68,-2.5,2.5
13.7,2.5,-2.5
13.72,2.5,-2.5
13.74,2.5,-2.5
13.76,2.5,-2.5
13.78,2.5,-2.5
13.8,-2.5,2.5
13.82,-2.5,2.5
13.84,-2.5,2.5
13.86,-2.5,2.5
13.88,-2.5,2.5
13.9,2.5,-2.5
13.92,2.5,-2.5
13.94,2.5,-2.5
13.96,2.5,-2.5
13.98,2.5,-2.5
14,-2.5,2.5
14.02,-2.5,2.5
14.04,-2.5,2.5
14.06,-2.5,2.5
14.08,-2.5,2.5
14.1,-2.5,2.5
14.12,-2.5,2.5
14.14,-2.5,2.5
14.16,-2.5,2.5
14.18,-2.5,2.5
14.2,2.5,-2.5
14.22,2.5,-2.5
14.24,2.5,-2.5
14.26,2.5,-2.5
14.28,2.5,-2.5
14.3,-2.5,2.5
14.32,-2.5,2.5
14.34,-2.5,2.5
14.36,-2.5,2.5
14.38,-2.5,2.5
14.4,2.5,-2.5
14.42,2.5,-2.5
14.44,2.5,-2.5
14.46,2.5,-2.5
14.48,2.5,-2.5
14.5,2.5,-2.5
14.52,2.5,-2.5
14.54,2.5,-2.5
14.56,2.5,-2.5
14.58,2.5,-2.5
14.6,-2.5,2.5
14.62,-2.5,2.5
14.64,-2.5,2.5
14.66,-2.5,2.5
14.68,-2.5,2.5
14.7,2.5,-2.5
14.72,2.5,-2.5
14.74,2.5,-2.5
14.76,2.5,-2.5
14.78,2.5,-2.5
14.8,-2.5,2.5
14.82,-2.5,2.5
14.84,-2.5,2.5
14.86,-2.5,2.5
14.88,-2.5,2.5
14.9,2.5,-2.5
14.92,2.5,-2.5
14.94,2.5,-2.5
14.96,2.5,-2.5
14.98,2.5,-2.5
15,2.5,-2.5
15.02,2.5,-2.5
15.04,2.5,-2.5
15.06,2.5,-2.5
15.08,2.5,-2.5
15.1,-2.5,2.5
15.12,-2.5,2.5
15.14,-2.5,2.5
15.16,-2.5,2.5
15.18,-2.5,2.5
15.2,-2.5,2.5
15.22,-2.5,2.5
15.24,-2.5,2.5
15.26,-2.5,2.5
15.28,-2.5,2.5
15.3,-2.5,2.5
15.32,-2.5,2.5
15.34,-2.5,2.5
15.36,-2.5,2.5
15.38,-2.5,2.5
15.4,-2.5,2.5
15.42,-2.5,2.5
15.44,-2.5,2.5
15.46,-2.5,2.5
15.48,-2.5,2.5
15.5,-2.5,2.5
15.52,-2.5,2.5
15.54,-2.5,2.5
15.56,-2.5,2.5
15.58,-2.5,2.5
15.6,-2.5,2.5
15.62,-2.5,2.5
15.64,-2.5,2.5
15.66,-2.5,2.5
15.68,-2.5,2.5
15.7,2.5,-2.5
15.72,2.5,-2.5
15.74,2.5,-2.5
15.76,2.5,-2.5
15.78,2.5,-2.5
15.8,2.5,-2.5
15.82,2.5,-2.5
15.84,2.5,-2.5
15.86,2.5,-2.5
15.88,2.5,-2.5
15.9,2.5,-2.5
15.92,2.5,-2.5
15.94,2.5,-2.5
15.96,2.5,-2.5
15.98,2.5,-2.5
16,2.5,-2.5
16.02,2.5,-2.5
16.04,2.5,-2.5
16.06,2.5,-2.5
16.08,2.5,-2.5
16.1,2.5,-2.5
16.12,2.5,-2.5
16.14,2.5,-2.5
16.16,2.5,-2.5
16.18,2.5,-2.5
16.2,2.5,-2.5
16.22,2.5,-2.5
16.24,2.5,-2.5
16.26,2.5,-2.5
16.28,2.5,-2.5
16.3,2.5,-2.5
16.32,2.5,-2.5
16.34,2.5,-2.5
16.36,2.5,-2.5
16.38,2.5,-2.5
16.4,-2.5,2.5
16.42,-2.5,2.5
16.44,-2.5,2.5
16.46,-2.5,2.5
16.48,-2.5,2.5
16.5,-2.5,2.5
16.52,-2.5,2.5
16.54,-2.5,2.5
16.56,-2.5,2.5
16.58,-2.5,2.5
16.6,2.5,-2.5
16.62,2.5,-2.5
16.64,2.5,-2.5
16.66,2.5,-2.5
16.68,2.5,-2.5
16.7,-2.5,2.5
16.72,-2.5,2.5
16.74,-2.5,2.5
16.76,-2.5,2.5
16.78,-2.5,2.5
16.8,-2.5,2.5
16.82,-2.5,2.5
16.84,-2.5,2.5
16.86,-2.5,2.5
16.88,-2.5,2.5
16.9,2.5,-2.5
16.92,2.5,-2.5
16.94,2.5,-2.5
16.96,2.5,-2.5
16.98,2.5,-2.5
17,-2.5,2.5
17.02,-2.5,2.5
17.04,-2.5,2.5
17.06,-2.5,2.5
17.08,-2.5,2.5
17.1,2.5,-2.5
17.12,2.5,-2.5
17.14,2.5,-2.5
17.16,2.5,-2.5
17.18,2.5,-2.5
17.2,-2.5,2.5
17.22,-2.5,2.5
17.24,-2.5,2.5
17.26,-2.5,2.5
17.28,-2.5,2.5
17.3,2.5,-2.5
17.32,2.5,-2.5
17.34,2.5,-2.5
17.36,2.5,-2.5
17.38,2.5,-2.5
17.4,2.5,-2.5
17.42,2.5,-2.5
17.44,2.5,-2.5
17.46,2.5,-2.5
17.48,2.5,-2.5
17.5,2.5,-2.5
17.52,2.5,-2.5
17.54,2.5,-2.5
17.56,2.5,-2.5
17.58,2.5,-2.5
17.6,-2.5,2.5
17.62,-2.5,2.5
17.64,-2.5,2.5
17.66,-2.5,2.5
17.68,-2.5,2.5
17.7,2.5,-2.5
17.72,2.5,-2.5
