2301
0.00005000	,0.00000000	
0.00015000	,0.00000000	
0.00030000	,0.00000000	
0.00050000	,0.00000000	
0.00075000	,0.00000000	
0.00105000	,0.00000000	
0.00140000	,0.00000000	
0.00180000	,0.00000000	
0.00225000	,0.00000000	
0.00275000	,0.00000000	
0.00330000	,0.00000000	
0.00390000	,0.00000000	
0.00455000	,0.00000000	
0.00525000	,0.00000000	
0.00600000	,0.00000000	
0.00680000	,0.00000000	
0.00765000	,0.00000000	
0.00855000	,0.00000000	
0.00950000	,0.00000000	
0.01050000	,0.00000000	
0.01155000	,0.00000000	
0.01265000	,0.00000000	
0.01380000	,0.00000000	
0.01500000	,0.00000000	
0.01625000	,0.00000000	
0.01755000	,0.00000000	
0.01890000	,0.00000000	
0.02030000	,0.00000000	
0.02175000	,0.00000000	
0.02325000	,0.00000000	
0.02480000	,0.00000000	
0.02640000	,0.00000000	
0.02805000	,0.00000000	
0.02975000	,0.00000000	
0.03150000	,0.00000000	
0.03330000	,0.00000000	
0.03515000	,0.00000000	
0.03705000	,0.00000000	
0.03900000	,0.00000000	
0.04100000	,0.00000000	
0.04305000	,0.00000000	
0.04515000	,0.00000000	
0.04730000	,0.00000000	
0.04950000	,0.00000000	
0.05175000	,0.00000000	
0.05405000	,0.00000000	
0.05640000	,0.00000000	
0.05880000	,0.00000000	
0.06125000	,0.00000000	
0.06375000	,0.00000000	
0.06630000	,0.00000000	
0.06890000	,0.00000000	
0.07155000	,0.00000000	
0.07425000	,0.00000000	
0.07700000	,0.00000000	
0.07980000	,0.00000000	
0.08265000	,0.00000000	
0.08555000	,0.00000000	
0.08850000	,0.00000000	
0.09150000	,0.00000000	
0.09455000	,0.00000000	
0.09765000	,0.00000000	
0.10080000	,0.00000000	
0.10400000	,0.00000000	
0.10725000	,0.00000000	
0.11055000	,0.00000000	
0.11390000	,0.00000000	
0.11730000	,0.00000000	
0.12075000	,0.00000000	
0.12425000	,0.00000000	
0.12780000	,0.00000000	
0.13140000	,0.00000000	
0.13505000	,0.00000000	
0.13875000	,0.00000000	
0.14250000	,0.00000000	
0.14630000	,0.00000000	
0.15015000	,0.00000000	
0.15405000	,0.00000000	
0.15800000	,0.00000000	
0.16200000	,0.00000000	
0.16605000	,0.00000000	
0.17015000	,0.00000000	
0.17430000	,0.00000000	
0.17850000	,0.00000000	
0.18275000	,0.00000000	
0.18705000	,0.00000000	
0.19140000	,0.00000000	
0.19580000	,0.00000000	
0.20025000	,0.00000000	
0.20475000	,0.00000000	
0.20930000	,0.00000000	
0.21390000	,0.00000000	
0.21855000	,0.00000000	
0.22325000	,0.00000000	
0.22800000	,0.00000000	
0.23280000	,0.00000000	
0.23765000	,0.00000000	
0.24255000	,0.00000000	
0.24750000	,0.00000000	
0.25250000	,0.00000000	
0.25755000	,0.00000000	
0.26265000	,0.00000000	
0.26780000	,0.00000000	
0.27300000	,0.00000000	
0.27825000	,0.00000000	
0.28355000	,0.00000000	
0.28890000	,0.00000000	
0.29430000	,0.00000000	
0.29975000	,0.00000000	
0.30525000	,0.00000000	
0.31080000	,0.00000000	
0.31640000	,0.00000000	
0.32205000	,0.00000000	
0.32775000	,0.00000000	
0.33350000	,0.00000000	
0.33930000	,0.00000000	
0.34515000	,0.00000000	
0.35105000	,0.00000000	
0.35700000	,0.00000000	
0.36300000	,0.00000000	
0.36905000	,0.00000000	
0.37515000	,0.00000000	
0.38130000	,0.00000000	
0.38750000	,0.00000000	
0.39375000	,0.00000000	
0.40005000	,0.00000000	
0.40640000	,0.00000000	
0.41280000	,0.00000000	
0.41925000	,0.00000000	
0.42575000	,0.00000000	
0.43230000	,0.00000000	
0.43890000	,0.00000000	
0.44555000	,0.00000000	
0.45225000	,0.00000000	
0.45900000	,0.00000000	
0.46580000	,0.00000000	
0.47265000	,0.00000000	
0.47955000	,0.00000000	
0.48650000	,0.00000000	
0.49350000	,0.00000000	
0.50055000	,0.00000000	
0.50765000	,0.00000000	
0.51480000	,0.00000000	
0.52200000	,0.00000000	
0.52925000	,0.00000000	
0.53655000	,0.00000000	
0.54390000	,0.00000000	
0.55130000	,0.00000000	
0.55875000	,0.00000000	
0.56625000	,0.00000000	
0.57380000	,0.00000000	
0.58140000	,0.00000000	
0.58905000	,0.00000000	
0.59675000	,0.00000000	
0.60450000	,0.00000000	
0.61230000	,0.00000000	
0.62015000	,0.00000000	
0.62805000	,0.00000000	
0.63600000	,0.00000000	
0.64400000	,0.00000000	
0.65205000	,0.00000000	
0.66015000	,0.00000000	
0.66830000	,0.00000000	
0.67650000	,0.00000000	
0.68475000	,0.00000000	
0.69305000	,0.00000000	
0.70140000	,0.00000000	
0.70980000	,0.00000000	
0.71825000	,0.00000000	
0.72675000	,0.00000000	
0.73530000	,0.00000000	
0.74390000	,0.00000000	
0.75255000	,0.00000000	
0.76125000	,0.00000000	
0.77000000	,0.00000000	
0.77880000	,0.00000000	
0.78765000	,0.00000000	
0.79655000	,0.00000000	
0.80550000	,0.00000000	
0.81450000	,0.00000000	
0.82355000	,0.00000000	
0.83265000	,0.00000000	
0.84180000	,0.00000000	
0.85100000	,0.00000000	
0.86025000	,0.00000000	
0.86955000	,0.00000000	
0.87890000	,0.00000000	
0.88830000	,0.00000000	
0.89775000	,0.00000000	
0.90725000	,0.00000000	
0.91680000	,0.00000000	
0.92640000	,0.00000000	
0.93605000	,0.00000000	
0.94575000	,0.00000000	
0.95550000	,0.00000000	
0.96530000	,0.00000000	
0.97515000	,0.00000000	
0.98505000	,0.00000000	
0.99500000	,0.00000000	
1.00500000	,0.00000000	
1.01505000	,0.00000000	
1.02515000	,0.00000000	
1.03530000	,0.00000000	
1.04550000	,0.00000000	
1.05575000	,0.00000000	
1.06605000	,0.00000000	
1.07640000	,0.00000000	
1.08680000	,0.00000000	
1.09725000	,0.00000000	
1.10775000	,0.00000000	
1.11830000	,0.00000000	
1.12890000	,0.00000000	
1.13955000	,0.00000000	
1.15025000	,0.00000000	
1.16100000	,0.00000000	
1.17180000	,0.00000000	
1.18265000	,0.00000000	
1.19355000	,0.00000000	
1.20450000	,0.00000000	
1.21550000	,0.00000000	
1.22655000	,0.00000000	
1.23765000	,0.00000000	
1.24880000	,0.00000000	
1.26000000	,0.00000000	
1.27125000	,0.00000000	
1.28255000	,0.00000000	
1.29390000	,0.00000000	
1.30530000	,0.00000000	
